time_bucket,num_rows,positive_rate,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
"(-5,0]",350,0.3171428571428571,0.35106382978723405,0.2972972972972973,0.3219512195121952,0.3388090349075975,0.6028571428571429,0.7447698744769874,0.5210335858871423,33,61,78,178
"(0,5]",6258,0.9934483860658357,0.9978617248752673,0.6755669937268779,0.8056781124112794,0.9109443456383117,0.6762543943751997,0.7804878048780488,0.7280273993024633,4200,9,2017,32
"(5,15]",23017,0.9884867706477821,0.995463941203491,0.7619989451476793,0.8632244572794264,0.9379869286703602,0.761306860146848,0.7018867924528301,0.7319428688002547,17337,79,5415,186
