time_bucket,num_rows,positive_rate,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
"(-5,0]",111,1.0,1.0,0.32432432432432434,0.489795918367347,0.7058823529411765,0.32432432432432434,0.0,0.16216216216216217,36,0,75,0
"(0,5]",5814,0.9929480564155487,0.9972621492128679,0.7571453317166118,0.8607719574635683,0.9377815919330618,0.7567939456484348,0.7073170731707317,0.7322312024436717,4371,12,1402,29
